iter	Passed	Remaining
0	150	14874
1	153	7533
2	156	5060
3	160	3844
4	163	3105
5	166	2606
6	169	2253
7	172	1986
8	176	1781
9	179	1611
10	182	1472
11	184	1355
12	187	1256
13	191	1176
14	194	1104
15	197	1038
16	200	980
17	203	926
18	206	881
19	209	839
20	212	800
21	215	764
22	218	730
23	220	699
24	223	671
25	226	644
26	229	619
27	231	596
28	234	574
29	237	554
30	240	535
31	243	517
32	246	500
33	249	484
34	252	468
35	255	454
36	258	439
37	260	425
38	263	412
39	266	399
40	268	386
41	271	375
42	274	363
43	276	352
44	279	341
45	282	331
46	285	321
47	288	312
48	290	302
49	293	293
50	296	284
51	299	276
52	301	267
53	304	259
54	307	251
55	309	243
56	312	235
57	314	228
58	317	220
59	320	213
60	322	206
61	325	199
62	328	192
63	330	186
64	333	179
65	336	173
66	338	166
67	340	160
68	343	154
69	346	148
70	348	142
71	351	136
72	354	131
73	356	125
74	359	119
75	361	114
76	364	108
77	367	103
78	369	98
79	372	93
80	374	87
81	377	82
82	380	77
83	383	73
84	385	68
85	388	63
86	391	58
87	394	53
88	396	49
89	399	44
90	402	39
91	404	35
92	407	30
93	409	26
94	412	21
95	414	17
96	417	12
97	420	8
98	422	4
99	425	0
